# REDSHIFT   LOG_LBOL            
  3.314      46.20866094060883   
  2.261      47.509942773219834  
  2.393      47.217737424067735  
  3.234      47.31015002988204   
  3.861      47.139602071249904  
  3.103      47.68013543657076   
  3.863      46.92169451246118   
  3.87       47.17528569329758   
  0.727      46.40322174183539   
  3.105      46.84994744194043   
  2.045      46.57150484109212   
  4.685      46.63281310084704   
  2.386      46.45382288309528   
  2.901      47.64170873824571   
  5.01       47.06170412783582   
  2.916      47.13057807834032   
  0.704      44.92400753385756   
  2.711      46.51017175798182   
  3.098      46.71198673364021   
  3.963      46.217789715658434  
  2.11       45.52919883962478   
  2.628      46.536154255882096  
  3.288      45.74482835700078   
  3.141      46.86362935126695   
  2.568      46.47194277004695   
  1.414      45.386113426443856  
  3.001      46.13813830616165   
  1.842      46.175683202166766  
  2.296      46.32858589499358   
  2.289      46.670394974303946  
  2.64       48.172165522423     
  3.122      46.10887423128172   
  1.932      46.27884255502908   
  2.329      45.82489977855103   
  2.305      45.85578440211208   
  3.225      46.33896484818521   
  2.039      46.73513407452571   
  0.935      45.57381215204763   
  3.872      46.571630713757706  
  2.241      45.519234454822225  
  1.404      45.74138766811347   
  3.034      45.986466287511675  
  0.715      46.137462043868254  
  1.506      44.9492427328472    
  0.387      45.021473994278324  
  1.57       45.396347051891944  
  1.29       44.88539150571586   
  1.591      45.98483193407756   
  0.898      44.99847536425226   
  1.543      45.49785000451672   
  2.274      45.49704586765194   
  1.043      45.125489151537565  
  1.653      44.917570347094504  
  1.107      45.16012497339638   
  1.102      45.794125233647726  
  0.984      45.44678619296672   
  1.039      45.52510792815253   
  1.277      45.448468757579654  
  1.477      45.30083740339497   
  1.003      45.510169970145824  
  0.669      45.022753390885654  
  2.096      45.82021514799801   
  1.061      44.98795356517827   
  1.558      46.22360298450555   
  0.983      45.29386086637723   
  2.796      45.84391162960149   
  0.456      44.86225914407059   
  1.426      45.31327075502625   
  2.281      46.08299573539132   
  2.695      45.81915480496531   
  2.329      45.06090303058128   
  2.699      46.923001261969546  
  1.1        45.480128801653095  
  2.182      46.47346046117148   
  2.312      45.51271203104446   
  3.866      46.527932227714025  
  2.365      46.34488936219067   
  1.6158503  46.218218238310605  
  0.6507103  44.87970748116524   
  0.5221781  44.87973733953791   
  1.7537503  45.930245792455175  
  1.6242852  45.05237400500975   
  1.0799081  45.40873389517189   
  1.1052948  45.21842469534468   
  0.6928971  45.41624162489774   
  1.1132182  45.40791033208032   
  2.256      46.28846421438069   
  1.3156188  45.33605981280298   
  2.2197595  45.82416476391708   
  1.8853765  45.943097742813755  
  1.371      45.2031084525669    
  2.172      46.21285552242486   
  3.862      46.545069098450924  
