# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
4229	55501	806	22.191619	0.64523164	2.759	1.776	1550.024	9.093	21.412	22.793	1.817	1540.223	11.380	26.798	28.523	1.045	1540.589	46.011	108.348	81.981	41.914	32.86521327013611	3	0.585757614718701	1542.509	1348.811	1540.589	373.135	45.7066997681353	0.004351413488153507	-999.0	-999.0	9.103441393893448	0.10009910497806603	7	0.8044052775255994
4308	55565	174	14.559672	1.2584021	2.529	16.840	1521.774	17.058	40.169	38.509	23.073	1538.068	11.523	27.134	28.871	20.612	1500.000	136.023	320.310	91.624	58.558	51.68779737723162	3	0.9487242390611762	1532.316	3320.838	1500.000	6322.559	46.86339934109065	0.0006604887624006141	-999.0	-999.0	10.462918464528398	0.09220246917137491	6	0.05925108247268867
4311	55506	86	16.968851	1.3936076	3.525	9.310	1530.859	18.913	44.537	44.976	7.845	1537.974	10.340	24.349	25.917	7.453	1550.822	56.449	132.927	87.994	53.497	43.90577754556125	3	0.8953786546280103	1533.492	3093.413	1550.822	-3388.085	46.565569346942056	0.0021245906769820537	-999.0	-999.0	10.196919193624785	0.14564378490525562	7	0.8044048122082484
4484	55565	678	128.62269	21.673512	4.508	8.568	1538.874	12.574	29.610	31.487	2.861	1501.464	29.902	70.413	38.850	0.195	1535.850	0.000	0.000	nan	38.462	34.526366983050366	2	0.6252916718672668	1533.225	3144.918	1501.464	6210.296	46.54937274086273	0.005103384225618084	-999.0	-999.0	9.618473636357646	0.10426882649158056	7	0.03333083843085527
4504	55571	804	124.41886	13.859603	4.37	9.500	1545.055	10.843	25.533	27.179	5.229	1529.999	33.348	78.528	66.581	0.000	1540.948	38.632	90.971	nan	42.560	41.263876854473665	2	0.8489616005091682	1544.279	1006.318	1529.999	2772.104	46.53958424245982	0.0037968942621535925	-999.0	-999.0	9.49767399918937	0.0735438605284431	7	0.032798977494193304
4505	55603	810	121.81299	13.468105	4.87	6.561	1500.000	0.000	0.000	nan	6.561	1500.000	0.000	0.000	nan	3.937	1500.000	0.000	0.000	nan	nan	0.0	0	-0.006315328505819062	1499.899	9592.995	0.000	-9999.000	46.644454507546364	0.0027317244322786816	-999.0	-999.0	9.372811915647763	0.1559919675459538	7	0.029800914175088147
4776	55652	108	227.98326	4.1341644	4.65	6.024	1543.514	17.523	41.263	43.615	3.896	1543.272	2.791	6.572	6.996	0.000	1544.175	0.837	1.972	nan	29.235	0.0	2	0.49429434747460343	1541.529	1538.428	1543.514	-386.142	46.53145450371043	0.004392434878406489	-999.0	-999.0	9.34619511758387	0.1683106025636791	7	0.05581826160395086
4782	55654	856	214.58009	4.6930795	2.53	7.096	1501.290	56.919	134.034	66.520	7.096	1501.292	56.922	134.041	66.523	19.079	1537.001	12.568	29.596	31.454	50.132	47.422410565452765	3	0.9130549093554728	1531.882	3404.824	1501.292	5986.478	46.757178230216795	0.0008727263328943528	-999.0	-999.0	10.020938448297928	0.04743978823413301	6	0.06285089412080029
4833	55679	222	187.07315	5.381532	2.018	25.556	1547.823	30.349	71.467	68.334	40.668	1536.096	8.015	18.875	20.094	68.384	1547.930	6.543	71.467	16.403	33.524	26.17474165829526	3	0.9913936498146749	1545.898	693.084	1547.823	-373.363	46.78104862715168	0.0007857834594345353	46.639735806857274	0.000991144979783255	9.526308239991879	0.017957380198203584	7	0.09023175565001094
4834	55685	196	189.20597	5.006476	1.943	16.306	1539.510	10.953	25.792	27.451	16.379	1532.649	14.496	34.135	35.862	8.277	1500.000	58.654	138.120	66.524	41.361	36.672733128054915	3	0.9547118472212427	1533.239	3142.306	1500.000	6499.176	46.718102444812224	0.0008385246251239058	46.52730499802393	0.0009528124033836269	9.798056523106863	0.029526013121473696	7	0.09023165954214211
