# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
4215	55471	925	359.40544	0.59618819	2.376	10.833	2700.000	0.000	0.000	nan	10.833	2700.000	0.000	0.000	nan	6.500	2700.000	0.000	0.000	nan	nan	0.0	0	0.021413381662873543	2700.210	10593.181	0.000	-9999.000	45.60662754581857	0.006427542483896318	45.74302013120864	0.00509884063283484	9.194307719767085	0.2051593964330927	6	0.06268277250569185
4218	55479	248	3.5045478	-1.1019941	2.103	0.000	2900.000	132467.241	311936.513	nan	0.000	2900.000	132475.853	311956.795	nan	32.417	2700.000	0.000	311936.513	nan	nan	0.0	0	-0.088914843924631	2699.717	10645.995	0.000	-9999.000	45.72342256983611	0.0031298173578389677	45.7531774036877	0.004787238920040299	8.632499684839566	0.05741164240944153	7	0.9632374094044225
4226	55475	560	15.815379	0.59005402	2.07	0.000	2799.863	24.764	58.314	nan	0.000	2799.890	24.760	58.306	nan	1.325	2805.894	19.808	46.644	49.651	49.651	0.0	1	0.0751786170059171	2800.023	-97.024	0.000	-9999.000	45.72907614260591	0.004023373717363326	45.48873398183538	0.00345239553265353	9.274172432961258	0.07805859040089361	7	0.8044048396395762
4308	55565	174	14.559672	1.2584021	2.529	0.000	2852.552	1.911	4.501	nan	10.663	2795.140	20.747	48.856	52.010	0.000	2794.822	2.730	6.428	nan	52.010	0.0	1	0.24893752300001204	2795.429	395.012	0.000	-9999.000	46.86339934109065	0.0006604887624006141	-999.0	-999.0	10.462918464528398	0.09220246917137491	6	0.05925108247268867
4467	55894	740	127.71703	24.183285	0.94	12.189	2800.743	7.086	16.686	17.766	30.512	2800.605	18.666	43.954	46.794	3.439	2701.368	137.393	323.536	147.587	47.456	38.92803132577046	3	0.9803650989702568	2793.819	567.433	2701.368	9920.503	-999.0	-999.0	45.866331289436324	0.0006912741984540123	9.107866551140969	0.051417837605242676	6	0.032147197736210394
4782	55654	856	214.58009	4.6930795	2.53	7.726	2795.181	19.587	46.125	49.099	1.652	2877.474	62.868	148.043	100.019	0.000	2804.682	23.616	55.611	nan	64.578	0.0	2	0.3906388929722865	2795.923	342.109	2877.474	-8744.372	46.757178230216795	0.0008727263328943528	-999.0	-999.0	10.020938448297928	0.04743978823413301	6	0.06285089412080029
4833	55679	222	187.07315	5.381532	2.018	8.938	2795.410	31.538	74.267	78.918	25.094	2802.125	10.124	23.840	25.377	11.516	2794.103	0.000	0.000	nan	39.669	28.491522041160806	2	0.9726793133212609	2798.858	27.716	2795.410	369.386	46.78104862715168	0.0007857834594345353	46.639735806857274	0.000991144979783255	9.526308239991879	0.017957380198203584	7	0.09023175565001094
4834	55685	196	189.20597	5.006476	1.943	7.896	2788.725	41.178	96.966	101.209	19.895	2801.368	12.396	29.191	31.080	2.086	2798.173	0.000	0.000	nan	51.653	36.12172963956209	2	0.9571155662544429	2798.399	76.856	2788.725	1036.456	46.718102444812224	0.0008385246251239058	46.52730499802393	0.0009528124033836269	9.798056523106863	0.029526013121473696	7	0.09023165954214211
4900	55739	104	238.38625	12.947703	1.309	0.000	2797.744	25.836	60.839	nan	0.000	2797.721	25.829	60.822	nan	40.356	2800.206	10.046	60.839	25.183	25.183	23.658008632408382	1	0.8559351090207651	2800.117	-107.060	0.000	-9999.000	-999.0	-999.0	46.24970699369704	0.0007866565107791935	9.040360865821215	0.046223255090291585	6	0.20146945727112264
5143	55828	427	321.20951	1.0325148	1.732	7.189	2802.438	22.316	52.550	55.938	1.257	2788.043	88.620	208.685	163.542	0.000	2801.384	55.257	130.119	nan	72.088	59.365165440227884	2	0.8536247336437155	2800.394	-136.822	2788.043	1322.231	46.31793577950524	0.0012838456833218286	46.14755409906689	0.0012161064946962824	9.53863858097261	0.030603112335278716	6	0.06690712908540813
